Name,Rarity,Slot,Outfit,Level,Elegant,Fresh,Sweet,Sexy,Cool,Blings,Threads,Bubbles,Labels,Source,Style
Immersive Study,3,Bottom,,1,320,58,167,48,34,0,0,0,,,Elegant
Immersive Study,3,Bottom,,2,397,72,207,59,42,0,0,0,,,Elegant
Immersive Study,3,Bottom,,3,487,88,253,73,52,0,0,0,,,Elegant
Immersive Study,3,Bottom,,4,589,106,306,88,63,0,0,0,,,Elegant
Immersive Study,3,Bottom,,5,704,127,366,105,0,0,0,0,,,Elegant
Bouncy Blue,3,Bottom,,0,25,136,43,35,261,0,0,0,,,Cool
Bouncy Blue,3,Bottom,,1,32,170,54,44,327,0,0,0,,,Cool
Bouncy Blue,3,Bottom,,2,39,211,67,55,405,0,0,0,,,Cool
Bouncy Blue,3,Bottom,,3,48,259,82,67,496,0,0,0,,,Cool
Bouncy Blue,3,Bottom,,4,58,313,99,81,601,0,0,0,,,Cool
Bouncy Blue,3,Bottom,,5,69,374,19,0,718,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,0,28,39,39,127,267,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,1,35,49,49,159,334,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,2,44,61,61,197,414,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,3,54,75,75,242,508,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,4,65,90,90,293,615,0,0,0,,,Cool
Unruly Plaid,3,Bottom,,5,77,108,108,350,735,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,0,33,32,48,131,256,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,1,42,40,60,164,320,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,2,52,50,75,204,397,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,3,63,61,92,249,487,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,4,76,74,0,302,589,0,0,0,,,Cool
Deeply Engraved,3,Bottom,,5,91,88,132,361,704,0,0,0,,,Cool
Free Will,3,Bottom,,0,34,26,42,132,266,0,0,0,,,Cool
Free Will,3,Bottom,,1,43,33,53,165,333,0,0,0,,,Cool
Free Will,3,Bottom,,2,53,41,66,205,413,0,0,0,,,Cool
Free Will,3,Bottom,,3,65,50,80,251,506,0,0,0,,,Cool
Free Will,3,Bottom,,4,79,60,0,304,612,0,0,0,,,Cool
Free Will,3,Bottom,,5,94,72,116,363,732,0,0,0,,,Cool
Pink Branches,3,Bottom,,0,24,35,257,49,136,0,0,0,,,Sweet
Pink Branches,3,Bottom,,1,30,44,322,62,170,0,0,0,,,Sweet
Pink Branches,3,Bottom,,2,38,55,399,76,211,0,0,0,,,Sweet
Pink Branches,3,Bottom,,3,46,67,489,94,259,0,0,0,,,Sweet
Pink Branches,3,Bottom,,4,56,81,592,113,313,0,0,0,,,Sweet
Pink Branches,3,Bottom,,5,66,0,707,135,374,0,0,0,,,Sweet
Azure Viola,3,Bottom,,0,29,35,263,43,130,0,0,0,,,Sweet
Azure Viola,3,Bottom,,1,37,44,329,54,163,0,0,0,,,Sweet
Azure Viola,3,Bottom,,2,45,55,408,67,202,0,0,0,,,Sweet
Azure Viola,3,Bottom,,3,56,67,500,82,247,0,0,0,,,Sweet
Azure Viola,3,Bottom,,4,67,81,605,99,299,0,0,0,,,Sweet
Azure Viola,3,Bottom,,5,80,0,724,19,358,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,0,48,47,252,31,122,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,1,60,59,315,39,153,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,2,75,73,391,49,190,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,3,92,90,479,59,232,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,4,0,109,580,72,281,0,0,0,,,Sweet
Plain Flowers,3,Bottom,,5,132,130,693,86,336,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,0,46,34,262,29,128,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,1,58,43,328,37,160,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,2,72,53,407,45,199,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,3,88,65,498,56,244,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,4,106,79,603,67,295,0,0,0,,,Sweet
Brown Orange Plaid,3,Bottom,,5,127,94,721,80,352,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,0,39,35,266,26,135,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,1,49,44,333,33,169,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,2,61,55,413,41,210,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,3,75,67,506,50,257,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,4,90,81,612,60,311,0,0,0,,,Sweet
Dark Blue Fantasy,3,Bottom,,5,108,0,732,72,372,0,0,0,,,Sweet
Spinning Mood,3,Bottom,,0,277,28,135,31,29,0,0,0,,,Elegant
Spinning Mood,3,Bottom,,1,347,35,169,39,37,0,0,0,,,Elegant
Spinning Mood,3,Bottom,,2,430,44,210,49,45,0,0,0,,,Elegant
Spinning Mood,3,Bottom,,3,527,54,257,59,56,0,0,0,,,Elegant
Spinning Mood,3,Bottom,,4,638,65,311,72,67,0,0,0,,,Elegant
Spinning Mood,3,Bottom,,5,762,77,372,86,80,0,0,0,,,Elegant
Foliage Musings,3,Bottom,,0,28,259,134,35,43,0,0,0,,,Fresh
Foliage Musings,3,Bottom,,1,35,324,168,44,54,0,0,0,,,Fresh
Foliage Musings,3,Bottom,,2,44,402,208,55,67,0,0,0,,,Fresh
Foliage Musings,3,Bottom,,3,54,493,255,67,82,0,0,0,,,Fresh
Foliage Musings,3,Bottom,,4,65,596,309,81,99,0,0,0,,,Fresh
Foliage Musings,3,Bottom,,5,77,713,369,0,119,0,0,0,,,Fresh
Rosy Dance Skirt,3,Bottom,,0,260,34,129,42,35,0,0,0,,,Elegant
Rosy Dance Skirt,3,Bottom,,1,325,43,162,53,44,0,0,0,,,Elegant
Rosy Dance Skirt,3,Bottom,,2,403,53,200,66,55,0,0,0,,,Elegant
Rosy Dance Skirt,3,Bottom,,3,494,65,246,80,67,0,0,0,,,Elegant
Rosy Dance Skirt,3,Bottom,,4,598,79,297,0,81,0,0,0,,,Elegant
Rosy Dance Skirt,3,Bottom,,5,75,94,355,116,0,0,0,0,,,Sweet
Shorts of Faith,3,Bottom,,0,32,132,42,39,255,0,0,0,,,Cool
Shorts of Faith,3,Bottom,,1,40,165,53,49,319,0,0,0,,,Cool
Shorts of Faith,3,Bottom,,2,50,205,66,61,396,0,0,0,,,Cool
Shorts of Faith,3,Bottom,,3,61,251,80,75,485,0,0,0,,,Cool
Shorts of Faith,3,Bottom,,4,74,304,0,90,587,0,0,0,,,Cool
Shorts of Faith,3,Bottom,,5,88,363,116,108,702,0,0,0,,,Cool
Gang Rules,3,Bottom,,0,130,43,36,33,258,0,0,0,,,Cool
Gang Rules,3,Bottom,,1,163,54,45,42,323,0,0,0,,,Cool
Gang Rules,3,Bottom,,2,202,67,56,52,400,0,0,0,,,Cool
Gang Rules,3,Bottom,,3,247,82,69,63,491,0,0,0,,,Cool
Gang Rules,3,Bottom,,4,299,99,83,76,594,0,0,0,,,Cool
Gang Rules,3,Bottom,,5,358,19,99,91,710,0,0,0,,,Cool
Patchwork Pants,3,Bottom,,0,262,28,126,44,40,0,0,0,,,Elegant
Patchwork Pants,3,Bottom,,1,328,35,158,55,50,0,0,0,,,Elegant
Patchwork Pants,3,Bottom,,2,407,44,196,69,62,0,0,0,,,Elegant
Patchwork Pants,3,Bottom,,3,498,54,240,84,76,0,0,0,,,Elegant
Patchwork Pants,3,Bottom,,4,603,65,290,102,92,0,0,0,,,Elegant
Patchwork Pants,3,Bottom,,5,721,77,347,121,110,0,0,0,,,Elegant
Fishy Fantasy,3,Bottom,,0,130,257,40,47,27,0,0,0,,,Fresh
Fishy Fantasy,3,Bottom,,1,163,322,50,59,34,0,0,0,,,Fresh
Fishy Fantasy,3,Bottom,,2,202,399,62,73,42,0,0,0,,,Fresh
Fishy Fantasy,3,Bottom,,3,247,489,76,90,52,0,0,0,,,Fresh
Fishy Fantasy,3,Bottom,,4,299,592,92,109,63,0,0,0,,,Fresh
Fishy Fantasy,3,Bottom,,5,358,707,110,130,75,0,0,0,,,Fresh
Wishful Pact,3,Bottom,,0,270,30,135,40,26,0,0,0,,,Elegant
Wishful Pact,3,Bottom,,1,338,38,169,50,33,0,0,0,,,Elegant
Wishful Pact,3,Bottom,,2,419,47,210,62,41,0,0,0,,,Elegant
Wishful Pact,3,Bottom,,3,513,57,257,76,50,0,0,0,,,Elegant
Wishful Pact,3,Bottom,,4,621,69,311,92,60,0,0,0,,,Elegant
Wishful Pact,3,Bottom,,5,743,83,372,110,72,0,0,0,,,Elegant
Noir Creed 02,3,Bottom,,0,43,46,26,127,258,0,0,0,,,Cool
Noir Creed 02,3,Bottom,,1,54,58,33,159,323,0,0,0,,,Cool
Noir Creed 02,3,Bottom,,2,67,72,41,197,400,0,0,0,,,Cool
Noir Creed 02,3,Bottom,,3,82,88,50,242,491,0,0,0,,,Cool
Noir Creed 02,3,Bottom,,4,99,106,60,293,594,0,0,0,,,Cool
Noir Creed 02,3,Bottom,,5,119,127,72,350,710,0,0,0,,,Cool
Powder Blue,3,Bottom,,0,45,262,138,28,27,0,0,0,,,Fresh
Powder Blue,3,Bottom,,1,57,328,173,35,34,0,0,0,,,Fresh
Powder Blue,3,Bottom,,2,70,407,214,44,42,0,0,0,,,Fresh
Powder Blue,3,Bottom,,3,86,498,263,54,52,0,0,0,,,Fresh
Powder Blue,3,Bottom,,4,104,603,318,65,63,0,0,0,,,Fresh
Powder Blue,3,Bottom,,5,124,721,380,77,75,0,0,0,,,Fresh
Elegant Hibiscus,3,Bottom,,0,36,122,255,39,47,0,0,0,,,Sweet
Elegant Hibiscus,3,Bottom,,1,45,153,319,49,59,0,0,0,,,Sweet
Elegant Hibiscus,3,Bottom,,2,56,190,396,61,73,0,0,0,,,Sweet
Elegant Hibiscus,3,Bottom,,3,69,232,485,75,90,0,0,0,,,Sweet
Elegant Hibiscus,3,Bottom,,4,83,281,587,90,109,0,0,0,,,Sweet
Elegant Hibiscus,3,Bottom,,5,99,336,702,108,130,0,0,0,,,Sweet
Cyan Mist,3,Bottom,,0,40,29,135,256,40,0,0,0,,,Sexy
Cyan Mist,3,Bottom,,1,50,37,169,320,50,0,0,0,,,Sexy
Cyan Mist,3,Bottom,,2,62,45,210,397,62,0,0,0,,,Sexy
Cyan Mist,3,Bottom,,3,76,56,257,487,76,0,0,0,,,Sexy
Cyan Mist,3,Bottom,,4,92,67,311,589,92,0,0,0,,,Sexy
Cyan Mist,3,Bottom,,5,110,80,372,704,110,0,0,0,,,Sexy
Tree Shade,3,Bottom,,0,125,256,46,40,32,0,0,0,,,Fresh
Tree Shade,3,Bottom,,1,157,320,58,50,40,0,0,0,,,Fresh
Tree Shade,3,Bottom,,2,194,397,72,62,50,0,0,0,,,Fresh
Tree Shade,3,Bottom,,3,238,487,88,76,61,0,0,0,,,Fresh
Tree Shade,3,Bottom,,4,288,589,106,92,74,0,0,0,,,Fresh
Tree Shade,3,Bottom,,5,344,704,127,110,88,0,0,0,,,Fresh
Single Strap Blues,3,Bottom,,0,44,46,247,40,123,0,0,0,,,Sweet
Single Strap Blues,3,Bottom,,1,55,58,309,50,154,0,0,0,,,Sweet
Single Strap Blues,3,Bottom,,2,69,72,383,62,191,0,0,0,,,Sweet
Single Strap Blues,3,Bottom,,3,84,88,470,76,234,0,0,0,,,Sweet
Single Strap Blues,3,Bottom,,4,102,106,569,92,283,0,0,0,,,Sweet
Single Strap Blues,3,Bottom,,5,121,127,680,110,339,0,0,0,,,Sweet
Deep Blue Companion,3,Bottom,,0,33,130,25,42,271,0,0,0,,,Cool
Deep Blue Companion,3,Bottom,,1,42,163,32,53,339,0,0,0,,,Cool
Deep Blue Companion,3,Bottom,,2,52,202,39,66,421,0,0,0,,,Cool
Deep Blue Companion,3,Bottom,,3,63,247,48,80,515,0,0,0,,,Cool
Deep Blue Companion,3,Bottom,,4,76,299,58,0,624,0,0,0,,,Cool
Deep Blue Companion,3,Bottom,,5,91,358,69,116,746,0,0,0,,,Cool
Problem-Solver,3,Bottom,,0,48,136,24,28,263,0,0,0,,,Cool
Problem-Solver,3,Bottom,,1,60,170,30,35,329,0,0,0,,,Cool
Problem-Solver,3,Bottom,,2,75,211,38,44,408,0,0,0,,,Cool
Problem-Solver,3,Bottom,,3,92,259,46,54,500,0,0,0,,,Cool
Problem-Solver,3,Bottom,,4,0,313,56,65,605,0,0,0,,,Cool
Problem-Solver,3,Bottom,,5,132,374,66,77,724,0,0,0,,,Cool
Operation Summer,3,Bottom,,0,40,247,45,41,127,0,0,0,,,Fresh
Operation Summer,3,Bottom,,1,50,309,57,52,159,0,0,0,,,Fresh
Operation Summer,3,Bottom,,2,62,383,70,64,197,0,0,0,,,Fresh
Operation Summer,3,Bottom,,3,76,470,86,78,242,0,0,0,,,Fresh
Operation Summer,3,Bottom,,4,92,569,104,95,293,0,0,0,,,Fresh
Operation Summer,3,Bottom,,5,110,680,124,113,350,0,0,0,,,Fresh
Swift Leap,3,Bottom,,0,50,31,129,30,260,0,0,0,,,Cool
Swift Leap,3,Bottom,,1,63,39,162,38,325,0,0,0,,,Cool
Swift Leap,3,Bottom,,2,78,49,200,47,403,0,0,0,,,Cool
Swift Leap,3,Bottom,,3,95,59,246,57,494,0,0,0,,,Cool
Swift Leap,3,Bottom,,4,0,72,297,69,598,0,0,0,,,Cool
Swift Leap,3,Bottom,,5,138,86,355,83,715,0,0,0,,,Cool
With Efficiency,3,Bottom,,0,48,50,41,34,328,0,0,0,,,Cool
With Efficiency,3,Bottom,,1,60,63,52,43,410,0,0,0,,,Cool
With Efficiency,3,Bottom,,2,75,78,64,53,509,0,0,0,,,Cool
With Efficiency,3,Bottom,,3,92,95,78,65,624,0,0,0,,,Cool
With Efficiency,3,Bottom,,4,0,0,95,79,755,0,0,0,,,Cool
With Efficiency,3,Bottom,,5,132,138,113,94,902,0,0,0,,,Cool
Late Slumber,3,Bottom,,0,39,130,246,45,39,0,0,0,,,Sweet
Late Slumber,3,Bottom,,1,49,163,308,57,49,0,0,0,,,Sweet
Late Slumber,3,Bottom,,2,61,202,382,70,61,0,0,0,,,Sweet
Late Slumber,3,Bottom,,3,75,247,468,86,75,0,0,0,,,Sweet
Late Slumber,3,Bottom,,4,90,299,566,104,90,0,0,0,,,Sweet
Late Slumber,3,Bottom,,5,108,358,677,124,108,0,0,0,,,Sweet
Shutters,2,Bottom,,0,76,14,22,29,159,0,0,0,,,Cool
Shutters,2,Bottom,,1,95,18,28,37,199,0,0,0,,,Cool
Shutters,2,Bottom,,2,118,22,35,45,247,0,0,0,,,Cool
Shutters,2,Bottom,,3,145,27,42,56,303,0,0,0,,,Cool
Shutters,2,Bottom,,4,175,33,51,67,366,0,0,0,,,Cool
Shutters,2,Bottom,,5,209,39,61,80,438,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,0,28,24,24,74,149,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,1,35,30,30,93,187,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,2,44,38,38,0,231,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,3,54,46,46,141,284,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,4,65,56,56,171,343,0,0,0,,,Cool
Green Slim-Fit Pants,2,Bottom,,5,77,66,66,204,410,0,0,0,,,Cool
Hoppy Berries,2,Bottom,,0,19,75,155,23,28,0,0,0,,,Sweet
Hoppy Berries,2,Bottom,,1,24,94,194,29,35,0,0,0,,,Sweet
Hoppy Berries,2,Bottom,,2,30,0,241,36,44,0,0,0,,,Sweet
Hoppy Berries,2,Bottom,,3,37,143,295,44,54,0,0,0,,,Sweet
Hoppy Berries,2,Bottom,,4,44,173,357,53,65,0,0,0,,,Sweet
Hoppy Berries,2,Bottom,,5,53,207,427,64,77,0,0,0,,,Sweet
Sleek Pants,2,Bottom,,0,155,0,18,81,29,0,0,0,,,Elegant
Sleek Pants,2,Bottom,,1,194,22,23,102,37,0,0,0,,,Elegant
Sleek Pants,2,Bottom,,2,241,27,28,126,45,0,0,0,,,Elegant
Sleek Pants,2,Bottom,,3,295,33,35,154,56,0,0,0,,,Elegant
Sleek Pants,2,Bottom,,4,357,40,42,187,67,0,0,0,,,Elegant
Sleek Pants,2,Bottom,,5,427,47,50,223,80,0,0,0,,,Elegant
Midsummer Print,2,Bottom,,0,81,156,16,25,22,0,0,0,,,Fresh
Midsummer Print,2,Bottom,,1,102,195,20,32,28,0,0,0,,,Fresh
Midsummer Print,2,Bottom,,2,126,242,25,39,35,0,0,0,,,Fresh
Midsummer Print,2,Bottom,,3,154,297,31,48,42,0,0,0,,,Fresh
Midsummer Print,2,Bottom,,4,187,359,37,58,51,0,0,0,,,Fresh
Midsummer Print,2,Bottom,,5,223,429,44,69,61,0,0,0,,,Fresh
Lively Youth,2,Bottom,,0,23,150,28,23,77,0,0,0,,,Fresh
Lively Youth,2,Bottom,,1,29,188,35,29,0,0,0,0,,,Fresh
Lively Youth,2,Bottom,,2,36,233,44,36,120,0,0,0,,,Fresh
Lively Youth,2,Bottom,,3,44,285,54,44,147,0,0,0,,,Fresh
Lively Youth,2,Bottom,,4,53,345,65,53,178,0,0,0,,,Fresh
Lively Youth,2,Bottom,,5,64,413,77,64,212,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,0,10,80,9,10,41,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,1,13,100,0,13,52,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,2,16,124,14,16,64,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,3,19,152,18,19,78,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,4,23,184,21,23,95,0,0,0,,,Fresh
Ripened Squash,3,Bracelet,,5,28,220,25,28,113,0,0,0,,,Fresh
Lavenfringe Chains,3,Bracelet,,0,8,40,83,9,10,0,0,0,,,Sweet
Lavenfringe Chains,3,Bracelet,,1,10,50,104,12,13,0,0,0,,,Sweet
Lavenfringe Chains,3,Bracelet,,2,13,62,129,14,16,0,0,0,,,Sweet
Lavenfringe Chains,3,Bracelet,,3,16,76,158,18,19,0,0,0,,,Sweet
Lavenfringe Chains,3,Bracelet,,4,19,92,191,21,23,0,0,0,,,Sweet
Lavenfringe Chains,3,Bracelet,,5,22,110,229,25,28,0,0,0,,,Sweet
Orange Sun,3,Bracelet,,0,10,77,39,10,13,0,0,0,,,Fresh
Orange Sun,3,Bracelet,,1,13,0,49,13,0,0,0,0,,,Sweet
Orange Sun,3,Bracelet,,2,16,120,61,16,21,0,0,0,,,Fresh
Orange Sun,3,Bracelet,,3,19,147,75,19,25,0,0,0,,,Fresh
Orange Sun,3,Bracelet,,4,23,178,90,23,30,0,0,0,,,Fresh
Orange Sun,3,Bracelet,,5,28,212,108,28,36,0,0,0,,,Fresh
Blessing Nebula,3,Bracelet,,0,7,0,79,39,13,0,0,0,,,Sweet
Blessing Nebula,3,Bracelet,,1,9,15,99,49,0,0,0,0,,,Sweet
Blessing Nebula,3,Bracelet,,2,0,19,123,61,21,0,0,0,,,Sweet
Blessing Nebula,3,Bracelet,,3,14,23,151,75,25,0,0,0,,,Sweet
Blessing Nebula,3,Bracelet,,4,0,28,182,90,30,0,0,0,,,Sweet
Blessing Nebula,3,Bracelet,,5,20,33,218,108,36,0,0,0,,,Sweet
Lucky Knot,2,Bracelet,,0,47,7,23,6,7,0,0,0,,,Elegant
Lucky Knot,2,Bracelet,,1,59,9,29,8,9,0,0,0,,,Elegant
Lucky Knot,2,Bracelet,,2,73,0,36,10,0,0,0,0,,,Elegant
Lucky Knot,2,Bracelet,,3,90,14,44,12,14,0,0,0,,,Elegant
Lucky Knot,2,Bracelet,,4,109,0,53,14,7,0,0,0,,,Elegant
Lucky Knot,2,Bracelet,,5,130,20,64,0,20,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,0,80,39,10,12,9,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,1,100,49,13,15,12,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,2,124,61,16,19,14,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,3,152,75,19,23,18,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,4,184,90,23,28,21,0,0,0,,,Elegant
Zephyr Bracelet,3,Bracelet,,5,220,108,28,33,25,0,0,0,,,Elegant
Skilled Hunter,3,Bracelet,,0,0,0,9,38,80,0,0,0,,,Cool
Skilled Hunter,3,Bracelet,,1,14,15,0,48,100,0,0,0,,,Cool
Skilled Hunter,3,Bracelet,,2,18,19,14,59,124,0,0,0,,,Cool
Skilled Hunter,3,Bracelet,,3,21,23,18,73,152,0,0,0,,,Cool
Skilled Hunter,3,Bracelet,,4,26,28,21,88,184,0,0,0,,,Cool
Skilled Hunter,3,Bracelet,,5,31,33,25,105,220,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,0,15,14,16,16,90,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,1,19,18,20,20,113,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,2,24,22,25,25,140,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,3,29,27,31,31,171,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,4,35,33,37,37,207,0,0,0,,,Cool
Diligent Agenda,3,Bracelet,,5,42,39,44,44,248,0,0,0,,,Cool
Distant Twinkle,5,Bracelet,,0,67,142,14,13,19,0,0,0,,,Fresh
Distant Twinkle,5,Bracelet,,1,84,178,18,0,24,0,0,0,,,Fresh
Distant Twinkle,5,Bracelet,,2,104,221,22,21,30,0,0,0,,,Fresh
Distant Twinkle,5,Bracelet,,3,128,270,27,25,37,0,0,0,,,Fresh
Distant Twinkle,5,Bracelet,,4,155,327,33,30,44,0,0,0,,,Fresh
Distant Twinkle,5,Bracelet,,5,185,391,39,36,53,0,0,0,,,Fresh
Fleeting Snowfall,3,Bracelet,,0,77,14,8,39,12,0,0,0,,,Elegant
Fleeting Snowfall,3,Bracelet,,1,0,18,10,49,15,0,0,0,,,Sexy
Fleeting Snowfall,3,Bracelet,,2,120,22,13,61,19,0,0,0,,,Elegant
Fleeting Snowfall,3,Bracelet,,3,147,27,16,75,23,0,0,0,,,Elegant
